gm_status,gm_icon,gm_lat,gm_lng,gm_addr,gm_name,gm_id,gm_types,enc_str
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,45.8705281,8.9790066,"Via Francesco Catenazzi 23, 6850 Mendrisio, Schweiz",SUPSI - Dipartimento ambiente costruzioni e design (DACD),ChIJeZSNvGsyhEcRTFHcyWffL0A,"university,point_of_interest,establishment","Istituto%20Scienze%20della%20Terra%20DACD%20SUPSI,%20Canobbio"
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/civic_building-71.png,-16.5023763,-68.1314644,"Reyes Ortiz 41, La Paz 10993, Bolivien",National Service of Meteorology and Hydrology,ChIJC1e7q3ogX5ERvLzQdA6Tb94,"point_of_interest,establishment","Servicio%20Nacional%20de%20Meterologia%20e%20Hidrologia%20SENAMHI%20Bolivia,%20La%20Paz"
CLOSED_PERMANENTLY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,-7.2701733,112.7866906,"Jl. Dharmahusada Permai No.1, Mulyorejo, Kec. Mulyorejo, Kota SBY, Jawa Timur 60115, Indonesien",AIRC - Universitas Airlangga,ChIJB8-TBiL61y0RPi3i9EdsrmA,"point_of_interest,establishment","Avian%20Influenza%20Research%20Center%20Universitas%20Airlangga,%20Surabaya"
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,46.2209088,6.1436432,"Chemin Eugène-Rigot 2A, 1202 Genève, Schweiz",Hochschulinstitut für internationale Studien und Entwicklung,ChIJJ5vlO-JkjEcRuRHZyflX0XU,"university,point_of_interest,establishment","D%C3%A9partement%20de%20Relations%20internationales%20et%20Science%20politique%20IHEID,%20Graduate%20Institute,%20Gen%C3%A8ve"
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,-1.2793988,36.8105439,"P. O .Box 39493, Nairobi, Kenia",Practical Action in Eastern Africa,ChIJI2izMDMXLxgRqZJWHFi4CkU,"point_of_interest,establishment","Practical%20Action%20-%20Eastern%20Africa,%20Nairobi"
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,27.64645,85.323476,"Lalitpur 44700, Nepal",International Centre for Integrated Mountain Development,ChIJU-cSA3AX6zkRzFidze4aHLc,"point_of_interest,establishment","ICIMOD%20International%20Centre%20for%20Integrated%20Mountain%20Development,%20Kathmandu"
NA,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,-33.9335226,18.6279539,"University of The Western Cape, Erica Twp, Kapstadt, Südafrika",University of The Western Cape,ChIJTTafFwlQzB0RXNg3hjlphAM,"neighborhood,political","University%20of%20the%20Western%20Cape,%20Bellville"
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,46.2242697,6.139745,"Avenue de la Paix 8, 1202 Genève, Schweiz",Recherche des Nations Unies pour le développement social,ChIJe_0MgORkjEcRG-_xidibZlk,"point_of_interest,establishment","United%20Nations%20Research%20Institute%20for%20Social%20Development%20(UNRISD),%20Gen%C3%A8ve%2010"
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,47.37638889999999,8.547628,"Rämistrasse 101, 8092 Zürich, Schweiz",Eidgenössische Technische Hochschule Zürich,ChIJ94xuUaagmkcRB3Y3tij0YUs,"university,point_of_interest,establishment","Environmental%20Impacts%20Group,%20Energy%20Division%20Center%20for%20Information%20Management%20and%20Energy%20Developmen,%20Miramar,%20Playa"
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,46.521018,6.629367999999999,"Bâtiment Les Mercier A, Voie du Chariot 4, 1003 Lausanne, Schweiz",Unisanté I Permanence Flon,ChIJg61l7S0ujEcRr65juEO4eqo,"health,point_of_interest,establishment","Unisant%C3%A9%20-%20Center%20for%20Primary%20Care%20and%20Public%20Health%20-%20Dept%20of%20Family%20Medicine%20University%20of%20Lausanne,%20Lausanne"
