last_name,first_name,gender,institute_name,institute_place,person_id_snsf,ocrid,role,project_number,institute,institute_urlenc,institute_ascii
Diebold,Clara Léonie,female,Centre for Development and Environment (CDE)  Universität Bern,Bern,755828,NA,projects_as_employee,177592,"Centre for Development and Environment (CDE) Universität Bern, Bern","Centre%20for%20Development%20and%20Environment%20(CDE)%20Universit%C3%A4t%20Bern,%20Bern",Centre for Development and Environment CDE Universitat Bern Bern
Dionglay,Mariluz S.P.,female,Forest Products Research & Development Inst. Chemistry and Biotechnology Section,Laguna,706778,NA,projects_as_applicant,177480,"Forest Products Research & Development Inst. Chemistry and Biotechnology Section, Laguna","Forest%20Products%20Research%20&%20Development%20Inst.%20Chemistry%20and%20Biotechnology%20Section,%20Laguna",Forest Products Research Development Inst Chemistry and Biotechnology Section Laguna
Diop,Fatou,female,Section de Sociologie UFR de Lettres et Sciences Humaines Université Gaston Berger,St. Louis,706379,NA,projects_as_applicant,177296,"Section de Sociologie UFR de Lettres et Sciences Humaines Université Gaston Berger, St. Louis","Section%20de%20Sociologie%20UFR%20de%20Lettres%20et%20Sciences%20Humaines%20Universit%C3%A9%20Gaston%20Berger,%20St.%20Louis",Section de Sociologie UFR de Lettres et Sciences Humaines Universite Gaston Berger St Louis
Do Van,Dung,male,Ho Chi Minh University of Education and Technology,Ho Chi Minh City,758492,NA,projects_as_applicant,194006,"Ho Chi Minh University of Education and Technology, Ho Chi Minh City","Ho%20Chi%20Minh%20University%20of%20Education%20and%20Technology,%20Ho%20Chi%20Minh%20City",Ho Chi Minh University of Education and Technology Ho Chi Minh City
Drumond Rangel Campos,Paula,female,Institut de Hautes Etudes Internationales et du Développement,Genève 21,644524,NA,projects_as_employee,146777,"Institut de Hautes Etudes Internationales et du Développement, Genève 21","Institut%20de%20Hautes%20Etudes%20Internationales%20et%20du%20D%C3%A9veloppement,%20Gen%C3%A8ve%2021",Institut de Hautes Etudes Internationales et du Developpement Geneve 21
Eba'a Atyi,Richard,male,CIFOR Central Africa Regional Office Nkolbisson IITA-HFC,Yaoundé,644057,NA,projects_as_applicant,152019,"CIFOR Central Africa Regional Office Nkolbisson IITA-HFC, Yaoundé","CIFOR%20Central%20Africa%20Regional%20Office%20Nkolbisson%20IITA-HFC,%20Yaound%C3%A9",CIFOR Central Africa Regional Office Nkolbisson IITA HFC Yaounde
Ehrensperger,Albrecht,male,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,616201,NA,projects_as_responsible_applicant,146875,"Zentrum für Entwicklung und Umwelt Universität Bern, Bern","Zentrum%20f%C3%BCr%20Entwicklung%20und%20Umwelt%20Universit%C3%A4t%20Bern,%20Bern",Zentrum fur Entwicklung und Umwelt Universitat Bern Bern
Eng,Netra,female,"CDRI, Cambodia",Phnom Penh,758491,NA,projects_as_applicant,194006,"CDRI, Cambodia, Phnom Penh","CDRI,%20Cambodia,%20Phnom%20Penh",CDRI Cambodia Phnom Penh
Fatichi,Simone,male,Department of Civil Engineering National University Singapore,Singapore,607376,0000-0003-1361-6659,projects_as_applicant,152019,"Department of Civil Engineering National University Singapore, Singapore","Department%20of%20Civil%20Engineering%20National%20University%20Singapore,%20Singapore",Department of Civil Engineering National University Singapore Singapore
Fernando,Nishara,male,Department of Sociology Faculty of Arts University of Colombo,Colombo,672209,0000-0003-1320-0260,projects_as_applicant,177322,"Department of Sociology Faculty of Arts University of Colombo, Colombo","Department%20of%20Sociology%20Faculty%20of%20Arts%20University%20of%20Colombo,%20Colombo",Department of Sociology Faculty of Arts University of Colombo Colombo
Fki,Lotfi,male,Laboratory of Plant Protection and Improveme Institute of Biotechnology of Sfax University of Sfax,Sfax,662121,NA,projects_as_applicant,160904,"Laboratory of Plant Protection and Improveme Institute of Biotechnology of Sfax University of Sfax, Sfax","Laboratory%20of%20Plant%20Protection%20and%20Improveme%20Institute%20of%20Biotechnology%20of%20Sfax%20University%20of%20Sfax,%20Sfax",Laboratory of Plant Protection and Improveme Institute of Biotechnology of Sfax University of Sfax Sfax
Fokou,Gilbert,male,Centre Suisse de Recherche Scientifique,Abidjan,661979,NA,projects_as_applicant,160867,"Centre Suisse de Recherche Scientifique, Abidjan","Centre%20Suisse%20de%20Recherche%20Scientifique,%20Abidjan",Centre Suisse de Recherche Scientifique Abidjan
Francetic,Igor,male,2rLAB DEASS SUPSI,Manno,689363,0000-0002-2481-3749,projects_as_employee,160373,"2rLAB DEASS SUPSI, Manno","2rLAB%20DEASS%20SUPSI,%20Manno",2rLAB DEASS SUPSI Manno
Fritz,Christiane,female,Swiss Organisation for Health in Africa SolidarMed,Maseru West,674177,NA,projects_as_applicant,160876,"Swiss Organisation for Health in Africa SolidarMed, Maseru West","Swiss%20Organisation%20for%20Health%20in%20Africa%20SolidarMed,%20Maseru%20West",Swiss Organisation for Health in Africa SolidarMed Maseru West
Garcia,Carlos M.,male,Forest Products Research & Development Inst. Wood Preservation Division,Laguna,706779,NA,projects_as_applicant,177480,"Forest Products Research & Development Inst. Wood Preservation Division, Laguna","Forest%20Products%20Research%20&%20Development%20Inst.%20Wood%20Preservation%20Division,%20Laguna",Forest Products Research Development Inst Wood Preservation Division Laguna
Ghale,Yamuna,female,Nepal Centre for Contemporary Research NCCR,Kathmandu,768072,NA,projects_as_applicant,177322,"Nepal Centre for Contemporary Research NCCR, Kathmandu","Nepal%20Centre%20for%20Contemporary%20Research%20NCCR,%20Kathmandu",Nepal Centre for Contemporary Research NCCR Kathmandu
Giannakis,Stefanos,male,Groupe des procédés avancés d'oxydation GPAO EPFL - SB - ISIC - GPAO,Lausanne,642543,0000-0002-6982-7351,projects_as_employee,146919,"Groupe des procédés avancés d'oxydation GPAO EPFL - SB - ISIC - GPAO, Lausanne","Groupe%20des%20proc%C3%A9d%C3%A9s%20avanc%C3%A9s%20d'oxydation%20GPAO%20EPFL%20-%20SB%20-%20ISIC%20-%20GPAO,%20Lausanne",Groupe des procedes avances d oxydation GPAO EPFL SB ISIC GPAO Lausanne
Grange-Omokaro,Françoise,female,Anthropology and Sociology Department Graduate Institute IHEID,Genève,706377,NA,projects_as_applicant,177296,"Anthropology and Sociology Department Graduate Institute IHEID, Genève","Anthropology%20and%20Sociology%20Department%20Graduate%20Institute%20IHEID,%20Gen%C3%A8ve",Anthropology and Sociology Department Graduate Institute IHEID Geneve
Grayver,Alexander,male,Institut für Geophysik ETH Zürich,Zürich,697097,0000-0003-1132-3705,projects_as_applicant,177474,"Institut für Geophysik ETH Zürich, Zürich","Institut%20f%C3%BCr%20Geophysik%20ETH%20Z%C3%BCrich,%20Z%C3%BCrich",Institut fur Geophysik ETH Zurich Zurich
Grenz,Jan Hendrik,male,"Hochschule für Agrar-, Forst- und Lebensmittelwissenschaften HAFL Berner Fachhochschule BFH",Zollikofen,609993,NA,projects_as_applicant,147330,"Hochschule für Agrar-, Forst- und Lebensmittelwissenschaften HAFL Berner Fachhochschule BFH, Zollikofen","Hochschule%20f%C3%BCr%20Agrar-,%20Forst-%20und%20Lebensmittelwissenschaften%20HAFL%20Berner%20Fachhochschule%20BFH,%20Zollikofen",Hochschule fur Agrar Forst und Lebensmittelwissenschaften HAFL Berner Fachhochschule BFH Zollikofen
Gröhbiel,Urs,male,Hochschule für Wirtschaft Fachhochschule Nordwestschweiz,Basel,616283,NA,projects_as_responsible_applicant,160910,"Hochschule für Wirtschaft Fachhochschule Nordwestschweiz, Basel","Hochschule%20f%C3%BCr%20Wirtschaft%20Fachhochschule%20Nordwestschweiz,%20Basel",Hochschule fur Wirtschaft Fachhochschule Nordwestschweiz Basel
Gupta,Ravi Shankar,male,District Health Management Team,Butha-Buthe,661997,NA,projects_as_applicant,160876,"District Health Management Team, Butha-Buthe","District%20Health%20Management%20Team,%20Butha-Buthe",District Health Management Team Butha Buthe
Gyimah-Boadi,Emmanuel,male,Ghana Center for Democratic Development,Legon Accra,617282,NA,projects_as_applicant,147210,"Ghana Center for Democratic Development, Legon Accra","Ghana%20Center%20for%20Democratic%20Development,%20Legon%20Accra",Ghana Center for Democratic Development Legon Accra
Häberli,Christian,male,World Trade Institute Centre for Development and Environment (CDE) Universität Bern,Bern,574672,NA,projects_as_employee,147836,"World Trade Institute Centre for Development and Environment (CDE) Universität Bern, Bern","World%20Trade%20Institute%20Centre%20for%20Development%20and%20Environment%20(CDE)%20Universit%C3%A4t%20Bern,%20Bern",World Trade Institute Centre for Development and Environment CDE Universitat Bern Bern
Hafidi,Mohamed,male,Faculty of Sciences Semlalia University Cadi Ayyad,Marrakech,662122,NA,projects_as_applicant,160904,"Faculty of Sciences Semlalia University Cadi Ayyad, Marrakech","Faculty%20of%20Sciences%20Semlalia%20University%20Cadi%20Ayyad,%20Marrakech",Faculty of Sciences Semlalia University Cadi Ayyad Marrakech
Hagemann,Daria,female,Institut de hautes études Internationales et du Développement,Genève,642187,NA,projects_as_employee,146777,"Institut de hautes études Internationales et du Développement, Genève","Institut%20de%20hautes%20%C3%A9tudes%20Internationales%20et%20du%20D%C3%A9veloppement,%20Gen%C3%A8ve",Institut de hautes etudes Internationales et du Developpement Geneve
Haller,Tobias,male,Institut für Sozialanthropologie Philosophisch-historische Fakultät Universität Bern,Bern,117097,NA,projects_as_applicant,177585,"Institut für Sozialanthropologie Philosophisch-historische Fakultät Universität Bern, Bern","Institut%20f%C3%BCr%20Sozialanthropologie%20Philosophisch-historische%20Fakult%C3%A4t%20Universit%C3%A4t%20Bern,%20Bern",Institut fur Sozialanthropologie Philosophisch historische Fakultat Universitat Bern Bern
Harttgen,Kenneth,male,"Departement Geistes-, Sozial- und Staatswissenschaften (D-GESS) ETH Zürich",Zürich,716292,NA,projects_as_employee,160373,"Departement Geistes-, Sozial- und Staatswissenschaften (D-GESS) ETH Zürich, Zürich","Departement%20Geistes-,%20Sozial-%20und%20Staatswissenschaften%20(D-GESS)%20ETH%20Z%C3%BCrich,%20Z%C3%BCrich",Departement Geistes Sozial und Staatswissenschaften D GESS ETH Zurich Zurich
Hervé,Dominique,male,University of Antananarivo,Antananarivo,617066,NA,projects_as_applicant,146791,"University of Antananarivo, Antananarivo","University%20of%20Antananarivo,%20Antananarivo",University of Antananarivo Antananarivo
Hochet,Peter,male,Laboratoire Citoyennetés,Ouagadougou,674226,NA,projects_as_applicant,160897,"Laboratoire Citoyennetés, Ouagadougou","Laboratoire%20Citoyennet%C3%A9s,%20Ouagadougou",Laboratoire Citoyennetes Ouagadougou
Hooley,Brady,male,Swiss Tropical and Public Health Institute Department of Epidemiology and Public Health University of Basel,Basel,752026,NA,projects_as_employee,183760,"Swiss Tropical and Public Health Institute Department of Epidemiology and Public Health University of Basel, Basel","Swiss%20Tropical%20and%20Public%20Health%20Institute%20Department%20of%20Epidemiology%20and%20Public%20Health%20University%20of%20Basel,%20Basel",Swiss Tropical and Public Health Institute Department of Epidemiology and Public Health University of Basel Basel
Hunziker,Stefan,male,Geographisches Institut Universität Bern,Bern,643124,0000-0001-6900-5684,projects_as_employee,147320,"Geographisches Institut Universität Bern, Bern","Geographisches%20Institut%20Universit%C3%A4t%20Bern,%20Bern",Geographisches Institut Universitat Bern Bern
Illien,Patrick,male,Centre for Development and Environment University of Bern,Bern,716294,NA,projects_as_employee,171191,"Centre for Development and Environment University of Bern, Bern","Centre%20for%20Development%20and%20Environment%20University%20of%20Bern,%20Bern",Centre for Development and Environment University of Bern Bern
